Comment,Designator,Footprint,LCSC,Quantity
~,"FB1,FB2,FB3,FB4",FB_0805,C1015,4
100nF,"C1,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C2,C20,C21,C3,C38,C39,C40,C41,C42,C43,C44,C45,C5,C6,C7,C8,C9",C_0603,C14663,28
100pF,C22,C_0603,C14858,1
100uF,C23,C_1206,C15008,1
6N137,U2,SOP-8_6.605x9.655mm_P2.54mm,C15825,1
10uF,"C31,C35,C4",C_0805,C15850,3
1nF,"C24,C37",C_0603,C1588,2
47uF,"C27,C33",C_0805,C16780,2
1k,R10,R_0805_2012Metric,C17513,1
220,"R11,R12,R9",R_0805_2012Metric,C17557,3
100,"R2,R3,R4,R5",R_0603_1608Metric,C22775,4
220,R13,R_0603_1608Metric,C22962,1
33Ω,"R1,R6,R7,R8",R_0603,C23140,4
100nF,"C25,C26,C28,C30,C32,C34,C36",C_0805,C28233,7
Conn_01x02_Socket,"J10,J11,J4,J5,J7,J9",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical_JLC_Constraints,C2908600,6
Conn_01x05,J8,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,C2908603,1
Conn_01x24_Socket,"J3,J6",PinSocket_1x24_P2.54mm_Vertical,C41376163,2
CD74HC4067M,U1,SOIC-24W_7.5x15.4mm_P1.27mm,C496123,1
"74HC14D,653",U3,SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,C5605,1
10nF,C29,C_0603,C57112,1
"PESD5V0L1BA,115","D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D4,D5,D6,D7,D8,D9",SOD2512X110N,C85380,37
Fuse,F1,Fuse_0805_2012Metric,C883101,1
