Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603,203.109347,-89.135999,-90.0,top
C10,100nF,C_0603,165.514533,-178.307999,90.0,top
C11,100nF,C_0603,165.516358,-181.704146,-90.0,top
C12,100nF,C_0603,205.007426,-176.720574,-90.0,top
C13,100nF,C_0603,205.077657,-181.706977,-90.0,top
C14,100nF,C_0603,115.214317,-221.729282,-90.0,top
C15,100nF,C_0603,115.19515,-216.732883,-90.0,top
C16,100nF,C_0603,154.684073,-221.78678,-90.0,top
C17,100nF,C_0603,154.748914,-216.788374,-90.0,top
C18,100nF,C_0603,165.610633,-221.74068,-90.0,top
C19,100nF,C_0603,165.514533,-216.679866,-90.0,top
C2,100nF,C_0603,203.038756,-94.108067,-90.0,top
C20,100nF,C_0603,205.014453,-216.722099,-90.0,top
C21,100nF,C_0603,204.824752,-221.715996,-90.0,top
C22,100pF,C_0603,183.044375,-105.064871,180.0,bottom
C23,100uF,C_1206,141.997238,-106.948665,90.0,bottom
C24,1nF,C_0603,151.722282,-109.381503,270.0,bottom
C25,100nF,C_0805,148.568397,-109.604969,270.0,bottom
C26,100nF,C_0805,156.965347,-90.697766,90.0,bottom
C27,47uF,C_0805,145.387509,-109.466665,270.0,bottom
C28,100nF,C_0805,156.955347,-94.117766,90.0,bottom
C29,10nF,C_0603,150.268769,-109.382848,270.0,bottom
C3,100nF,C_0603,234.096134,-89.218917,-90.0,top
C30,100nF,C_0805,119.797347,-92.392447,90.0,bottom
C31,10uF,C_0805,122.080814,-90.072138,90.0,bottom
C32,100nF,C_0805,129.928466,-126.198735,270.0,bottom
C33,47uF,C_0805,138.312612,-122.331449,270.0,bottom
C34,100nF,C_0805,130.89849,-121.400327,0.0,bottom
C35,10uF,C_0805,136.020928,-122.331449,270.0,bottom
C36,100nF,C_0805,133.903143,-122.322861,270.0,bottom
C37,1nF,C_0603,128.014469,-126.016805,270.0,bottom
C38,100nF,C_0603,233.522586,-178.18478,90.0,bottom
C39,100nF,C_0603,193.534971,-178.449277,90.0,bottom
C4,10uF,C_0805,105.402036,-139.201442,180.0,top
C40,100nF,C_0603,125.396593,-181.756971,270.0,bottom
C41,100nF,C_0603,85.769907,-181.724475,270.0,bottom
